task_id,variant,kind,passed,failed,baseline_cost,baseline_points,mapping
150,flip_lr,geometry,266,0,1014,18.078341815848873,
150,flip_lr_channel_recolor,geometry_recolor,266,0,1014,18.078341815848873,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9}"
155,flip_ud,geometry,266,0,1014,18.078341815848873,
155,flip_ud_channel_recolor,geometry_recolor,266,0,1014,18.078341815848873,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9}"
380,rot90_ccw_py,geometry,267,0,728,18.409698951803314,
380,rot90_ccw_py_channel_recolor,geometry_recolor,267,0,728,18.409698951803314,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9}"
87,rot180,geometry,266,0,368,19.09191706183107,
87,rot180_channel_recolor,geometry_recolor,266,0,368,19.09191706183107,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9}"
140,rot180,geometry,265,0,368,19.09191706183107,
140,rot180_channel_recolor,geometry_recolor,265,0,368,19.09191706183107,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9}"
16,flip_ud_channel_recolor,geometry_recolor,267,0,10,22.697414907005953,"{""0"": 0, ""1"": 5, ""2"": 6, ""3"": 4, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 7, ""8"": 9, ""9"": 8}"
16,identity_channel_recolor,geometry_recolor,267,0,10,22.697414907005953,"{""0"": 0, ""1"": 5, ""2"": 6, ""3"": 4, ""4"": 3, ""5"": 1, ""6"": 2, ""7"": 7, ""8"": 9, ""9"": 8}"
276,identity_channel_recolor,geometry_recolor,266,0,10,22.697414907005953,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 2, ""7"": 7, ""8"": 8, ""9"": 9}"
309,identity_channel_recolor,geometry_recolor,265,0,10,22.697414907005953,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 5, ""8"": 8, ""9"": 9}"
337,identity_channel_recolor,geometry_recolor,266,0,10,22.697414907005953,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 8, ""6"": 6, ""7"": 7, ""8"": 5, ""9"": 9}"
179,transpose,geometry,267,0,0,25.0,
179,transpose_channel_recolor,geometry_recolor,267,0,0,25.0,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9}"
241,transpose,geometry,266,0,0,25.0,
241,transpose_channel_recolor,geometry_recolor,266,0,0,25.0,"{""0"": 0, ""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7, ""8"": 8, ""9"": 9}"
